id,playerAge,buyTicketTimeOfComp,packNormalScore,packReverseScore,packTimeOfComp,lab1Time,lab2Time,lab3Time,lab1Latency,lab2Latency,lab3Latency,lab1Hits,lab2Hits,lab3Hits,lab1Crosses,lab2Crosses,lab3Crosses,lab1DeadEnds,lab2DeadEnds,lab3DeadEnds,labXHits,labXCrosses,labXDeadEnds,labTimeOfComp,waitRoomCorrect,waitRoomIncorrect,waitRoomMissed,flyPlaneCorrect,flyPlaneIncorrect,flyPlaneMissed,flyPlaneGreenCorrect,flyPlaneGreenIncorrect,flyPlaneGreenMissed,flyPlaneTimeOfComp,coinsMinCorrect,coinsMinIncorrect,coinsMinMissed,coinsExtraCorrect,coinsExtraIncorrect,coinsExtraMissed,coinsSelected,coinsClicksBeforeMin,coinsTimeOfComp,unPackFirstSelected,unPackFirstCorrect,unPackFirstPerc,unPackS1Correct,unPackS2Correct,unPackS3Correct,unPackS1Incorrect,unPackS2Incorrect,unPackS3Incorrect,unPackS1Repeated,unPackS2Repeated,unPackS3Repeated,unPackFourFirstSample,unPackFourLastSample,unPackGroupingSample,unPackSpacialPrecisionSample,unPackTimeOfComp
1,10,11,2,1,142,2.00003,1.21722,1.69953,1.1176,0.916614,1.01637,7,4,3,6,1,3,1,0,0,4.67,3.33,0.33,210,0,1,11,0,0,30,0,0,9,86,10,7,14,0,0,14,"[""3"",""4"",""6"",""8"",""14"",""32"",""25"",""22"",""33"",""38"",""44"",""63"",""127"",""218"",""222"",""193"",""82""]",2,67,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,4,5,6,1,1,1,0,0,0,"[0,25,25,0]","[75,25,25,0]","[1,1,1,0]","[3,3,6,0]",163
2,6,7,2,1,132,3.25049,1.73505,1.4353,2.19967,1.13711,0.833851,6,2,4,3,2,4,0,1,1,4,3,0.67,15,0,0,11,13,16,1,5,7,0,94,0,0,24,0,0,24,[],3,68,"[""Robot"",""BotasUnPack"",""Globo Terraqueo""]",1,0,0,0,0,1,1,0,0,1,0,"[0,0,0,0]","[0,0,0,0]","[0,1,0,0]","[0,0,0,0]",487
3,11,39,3,2,302,16.286,13.4902,41.0958,3.09818,8.12442,3.88398,15,7,11,6,5,4,2,1,3,11,5,2,79,3,85,8,22,7,1,7,2,0,93,8,37,16,0,17,16,"[""12"",""36"",""38"",""40"",""22"",""24"",""41"",""42"",""122"",""134"",""118"",""103"",""135"",""151"",""183"",""199"",""215"",""216"",""217"",""218"",""220"",""221"",""223"",""222"",""108"",""140"",""190"",""141"",""125"",""94"",""62"",""46"",""10"",""8"",""39"",""50"",""66"",""82"",""98"",""130"",""147"",""179"",""177"",""145"",""129"",""Coin203"",""Coin187"",""Coin170"",""Coin169"",""Coin152"",""Coin166"",""Coin165"",""Coin149"",""Coin133"",""Coin117"",""Coin85"",""Coin53"",""Coin21"",""Coin57"",""Coin176"",""Coin208"",""Coin224""]",3,88,"[""Tabla de surf"",""guantes"",""Pantalu00f3n""]",1,0,12,12,4,7,7,3,4,4,0,"[50,50,25,0]","[0,25,0,0]","[2,3,1,0]","[6,5,2,0]",381
4,11,71,5,6,512,67.8138,77.268,55.3847,8.74156,43.4403,31.1707,7,15,13,0,7,3,0,1,0,11.67,3.33,0.33,212,11,4,0,28,1,1,7,1,1,98,12,2,12,7,0,5,"[""127"",""154"",""147"",""193"",""181"",""218"",""168"",""140"",""69"",""59"",""63"",""50"",""3"",""98"",""Coin182"",""Coin215"",""Coin73"",""Coin204"",""Coin222"",""Coin110"",""Coin14""]",0,113,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,12,12,12,7,1,2,4,0,0,"[50,25,50,0]","[25,25,25,0]","[3,2,4,0]","[9,9,9,0]",264
5,11,92,5,5,419,79.0446,82.6461,76.2288,5.46908,25.1589,31.1947,2,5,1,0,1,0,0,0,0,2.67,0.33,0,245,11,2,0,28,2,0,9,0,0,52,17,1,7,6,0,1,"[""127"",""63"",""25"",""22"",""50"",""69"",""73"",""82"",""110"",""113"",""140"",""218"",""204"",""215"",""197"",""182"",""147"",""222"",""Coin154"",""Coin3"",""Coin14"",""Coin59"",""Coin56"",""Coin168""]",0,130,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,12,12,12,6,0,0,2,0,0,"[0,0,50,0]","[50,25,25,0]","[5,4,4,0]","[6,7,7,0]",315
7,11,3,4,5,381,77.6445,56.487,51.9021,34.8123,5.08496,9.30311,3,29,10,0,20,5,0,4,2,14,8.33,2,194,10,5,1,20,8,2,5,3,1,54,13,2,11,5,0,6,"[""218"",""154"",""215"",""69"",""207"",""208"",""222"",""127"",""14"",""63"",""22"",""59"",""56"",""25"",""182"",""Coin147"",""Coin110"",""Coin82"",""Coin73"",""Coin50""]",0,96,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,12,12,12,7,0,0,4,0,1,"[0,50,25,0]","[50,25,25,0]","[4,3,2,0]","[5,7,5,0]",316
8,8,31,2,3,309,68.3367,87.5137,26.729,3.11157,6.15176,4.25107,19,29,9,5,11,5,4,4,2,19,7,3.33,190,8,3,3,18,12,0,7,2,0,153,6,18,18,2,0,16,"[""207"",""172"",""186"",""183"",""164"",""210"",""51"",""4"",""8"",""16"",""112"",""108"",""103"",""14"",""6"",""3"",""20"",""73"",""89"",""140"",""126"",""110"",""93"",""215"",""Coin218"",""Coin222""]",0,70,"[""Robot"",""Tabla de surf"",""AletasUnPack""]",2,0,9,9,8,10,5,0,4,2,0,"[25,75,25,0]","[50,25,50,0]","[3,3,3,0]","[1,0,0,0]",222
9,12,89,3,5,378,78.9545,74.7761,8.08191,10.6423,8.08506,2.93201,12,7,7,4,2,5,2,0,2,8.67,3.67,1.33,173,11,6,0,24,5,1,6,2,1,74,14,0,10,9,0,1,"[""140"",""154"",""127"",""110"",""3"",""14"",""25"",""63"",""59"",""56"",""50"",""69"",""73"",""82"",""Coin113"",""Coin147"",""Coin168"",""Coin182"",""Coin193"",""Coin222"",""Coin218"",""Coin204"",""Coin215""]",0,121,"[""Tabla de surf"",""Robot"",""Tabla de surf""]",3,99.99,11,11,12,5,0,0,1,0,0,"[0,0,50,0]","[0,50,25,0]","[4,3,4,0]","[4,7,2,0]",326
10,8,47,4,5,572,63.9397,62.9395,84.6635,6.2191,4.78676,25.8258,2,12,21,0,3,9,0,0,2,11.67,4,0.67,221,1,75,10,19,11,0,9,0,0,66,2,5,22,15,0,7,"[""145"",""208"",""50"",""49"",""89"",""82"",""54"",""Coin110"",""Coin193"",""Coin218"",""Coin222"",""Coin204"",""Coin168"",""Coin147"",""Coin154"",""Coin140"",""Coin56"",""Coin59"",""Coin63"",""Coin22"",""Coin14"",""Coin3""]",0,150,"[""Sombrero"",""Alcancia"",""Camara""]",0,0,5,9,9,0,0,2,0,2,2,"[25,75,25,0]","[50,25,50,0]","[1,1,3,0]","[1,5,3,0]",224
11,7,37,5,5,623,168.661,68.1918,43.8156,10.337,3.13427,7.50247,5,8,7,1,2,3,0,3,1,6.67,2,1.33,288,11,6,0,22,5,3,4,4,1,69,11,2,13,13,10,0,"[""210"",""215"",""218"",""222"",""204"",""197"",""193"",""182"",""168"",""147"",""154"",""140"",""113"",""Coin127"",""Coin110"",""Coin82"",""Coin73"",""Coin69"",""Coin50"",""Coin56"",""Coin59"",""Coin63"",""Coin22"",""Coin25"",""Coin14"",""Coin3"",""Coin183"",""Coin186"",""Coin172"",""Coin4"",""Coin5"",""Coin51"",""Coin103"",""Coin118"",""Coin126"",""Coin112""]",0,157,"[""Tabla de surf"",""Alcancia"",""Carrito""]",2,0,8,9,9,5,10,10,3,4,4,"[25,25,25,0]","[25,0,50,0]","[3,3,5,0]","[4,0,0,0]",359
